time_mandante;time_visitante;gols_mandante;gols_visitante;gols_1_tempo_mandante;gols_1_tempo_visitante;escanteios_mandante;escanteios_visitante;faltas_mandante;faltas_visitante;chutes_bola_parada_mandante;chutes_bola_parada_visitante;defesas_mandante;defesas_visitante;impedimentos_mandante;impedimentos_visitante;chutes_mandante;chutes_visitante;chutes_fora_mandante;chutes_fora_visitante;resultado;NaN;NaN;NaN;NaN;NaN
Fortaleza;Athletico Paranaense;1;0;1;0;2;4;12;17;15;11;2;3;0;2;11;14;4;8;1;NaN;NaN;NaN;NaN;NaN
Fortaleza;Palmeiras;3;0;1;0;3;8;17;11;8;17;7;3;0;2;12;17;2;6;1;NaN;NaN;NaN;NaN;NaN
Fortaleza;Corinthians;1;0;0;0;3;9;14;16;15;14;3;4;2;2;8;12;3;2;1;NaN;NaN;NaN;NaN;NaN
Juventude;Corinthians;2;0;0;0;6;7;16;10;10;15;2;6;1;2;16;17;4;11;1;NaN;NaN;NaN;NaN;NaN
Juventude;Flamengo;2;1;1;1;7;8;9;10;10;9;3;7;4;2;15;9;6;2;1;NaN;NaN;NaN;NaN;NaN
Palmeiras;Cuiaba;5;0;4;0;7;1;16;6;6;16;3;4;1;2;14;10;3;4;1;NaN;NaN;NaN;NaN;NaN
Palmeiras;Criciuma;5;0;3;0;4;6;12;11;11;11;5;4;3;2;14;14;3;6;1;NaN;NaN;NaN;NaN;NaN
Cuiaba;Juventude;0;0;0;0;3;3;17;11;10;16;3;3;0;2;12;9;4;6;3;NaN;NaN;NaN;NaN;NaN
Sao Paulo;Internacional;1;3;1;1;2;4;18;16;15;17;3;1;6;2;7;14;3;4;3;NaN;NaN;NaN;NaN;NaN
Sao Paulo;Corinthians;3;1;1;0;7;2;18;17;17;18;2;5;2;2;19;11;6;5;1;NaN;NaN;NaN;NaN;NaN
Corinthians;Atletico Mineiro;0;0;0;0;3;3;16;12;12;16;3;1;0;2;13;8;7;2;3;NaN;NaN;NaN;NaN;NaN
Corinthians;Fluminense;3;0;2;0;6;8;15;15;15;14;2;4;1;2;17;13;4;5;1;NaN;NaN;NaN;NaN;NaN
Corinthians;Botafogo;0;1;0;0;2;5;7;16;15;7;1;7;3;2;16;9;7;3;3;NaN;NaN;NaN;NaN;NaN
Corinthians;Athletico Paranaense;5;2;2;2;3;8;9;7;7;6;4;4;0;2;14;22;4;12;1;NaN;NaN;NaN;NaN;NaN
Vitoria;Bahia;2;2;1;0;2;5;11;13;12;11;4;6;5;2;13;18;4;6;3;NaN;NaN;NaN;NaN;NaN
Vitoria;Sao Paulo;1;3;0;1;3;8;10;13;13;9;3;1;0;2;6;20;1;8;3;NaN;NaN;NaN;NaN;NaN
Vitoria;Internacional;2;1;1;0;4;2;6;16;16;5;4;2;3;2;11;15;5;8;1;NaN;NaN;NaN;NaN;NaN
Vitoria;Vasco;0;1;0;0;10;3;7;7;7;7;5;5;1;2;21;9;9;2;3;NaN;NaN;NaN;NaN;NaN
Vitoria;Fluminense;2;1;1;0;7;5;15;7;7;15;4;1;2;2;12;11;5;3;1;NaN;NaN;NaN;NaN;NaN
Athletico Paranaense;Flamengo;1;1;0;0;5;9;11;11;10;11;5;2;0;2;14;9;6;1;3;NaN;NaN;NaN;NaN;NaN
Athletico Paranaense;Sao Paulo;1;2;1;1;6;2;19;8;7;18;6;3;1;2;12;13;6;1;3;NaN;NaN;NaN;NaN;NaN
Athletico Paranaense;Palmeiras;0;2;0;1;4;4;10;9;7;10;8;9;0;2;15;19;4;3;3;NaN;NaN;NaN;NaN;NaN
Athletico Paranaense;Botafogo;0;1;0;1;8;3;8;20;19;8;2;3;0;2;26;11;14;5;3;NaN;NaN;NaN;NaN;NaN
Atletico Goianiense;Sao Paulo;0;3;0;1;4;3;13;9;9;12;4;1;0;2;9;19;4;4;3;NaN;NaN;NaN;NaN;NaN
